Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo
Albert	875-38686131	Albert1-Gabon	875-38686131_595-695	Les soutiens de Jean Ping réclament vigoureusement un recomptage des voix, ce que refuse Ali Bongo. 	doltean_1614603879319_875-38686131	doltean	réclament vigoureusement un recomptage des voix	Proposition	réclament	Comportementale	Base	Aucun	Colere	Aucune	réclamer	réclamer vigoureusemer un recomptage de voix
Albert	875-38686131	Albert1-Gabon	875-38686131_695-848	Les partisans des deux hommes se sont alors affrontés violemment dans les rues de la capitale Libreville, faisant trois morts et une centaine de blessés.	doltean_1614603685181_875-38686131	doltean	se sont affrontés violemment	Proposition	affrontés	Comportementale	Base	Aucun	Colere	Aucune	affronté	se être affronter violemment
Albert	894-54014598	Albert1-Italie	894-54014598_149-249	De nombreuses maisons ont aussi été détruites et des familles entières se sont retrouvées sans-abri.	doltean_1614604827768_894-54014598	doltean	se sont retrouvées sans-abri	Proposition	sans-abri	Suggeree	Base	Aucun	Tristesse	Aucune	sans-abri	se être retrouver sans-abri
Albert	894-54014598	Albert1-Italie	894-54014598_149-249	De nombreuses maisons ont aussi été détruites et des familles entières se sont retrouvées sans-abri.	aetienne_1614606659003_894-54014598	aetienne	De nombreuses maisons ont aussi été détruites	Proposition	détruites	Suggeree	Base	Aucun	Tristesse	Aucune	détruire	de nombreux maison avoir aussi être détruire
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_251-302	Elle considère que cela peut représenter un danger.	doltean_1614787532792_3079-48175182	doltean	un danger	SN	danger	Suggeree	Base	Aucun	Peur	Aucune	danger	un danger
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1885-1977	Le ministère de la Défense a lui aussi fait part de ses inquiétudes à propos de Pokémon Go. 	doltean_1614612775363_3079-48175182	doltean	inquiétudes	SN	inquiétudes	Designee	Base	Aucun	Peur	Aucune	inquiétude	inquiétude
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1977-2156	Il redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes, en faisant croire qu’elles jouent à Pokémon Go.	doltean_1619001350532_3079-48175182	doltean	des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes	Proposition	mal intentionnées	Suggeree	Base	Aucun	Peur	Aucune	mal intentionnée	un personne mal intentionné s’ introduire sur un site militaire protéger où le activité être top secret
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1977-2156	Il redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes, en faisant croire qu’elles jouent à Pokémon Go.	doltean_1614611794451_3079-48175182	doltean	redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes	Proposition	redoute	Designee	Base	Aucun	Peur	Aucune	redoute	redoute que un personne mal intentionné s’ introduire sur un site militaire protéger où le activité être top secret
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2157-2228	Enfin, l’armée s’inquiète du phénomène addictif que représente ce jeu. 	doltean_1614612111227_3079-48175182	doltean	s’inquiète	Proposition	s'inquiète	Designee	Base	Aucun	Peur	Aucune	se inquiéter	s’ inquiet
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2228-2330	Elle pense que certains militaires pourraient finir par devenir dépendants et délaisser leur travail. 	doltean_1619001578915_3079-48175182	doltean	certains militaires pourraient finir par devenir dépendants et délaisser leur travail	Proposition	dépendants	Suggeree	Base	Aucun	Peur	Aucune	dépendant	certain militaire pouvoir finir par devenir dépendant et délaisser son travail
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	le enfant qui posséder un téléphone portable le sortent pendant le cours	le enfant qui posséder un téléphone portable le sortent pendant le cours pour chercher un pokémon dans le salle ou dans le couloir de l’ école
Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1614612623187_3079-48175182	doltean	craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	craignent	Designee	Base	Aucun	Peur	Aucune	craindre	craignent que le enfant qui posséder un téléphone portable le sortent pendant le cours pour chercher un pokémon dans le salle ou dans le couloir de l’ école
Albert	2937-729927	Albert1-un_an_sur_Mars	2937-729927_1667-1801	Parmi les six scientifiques qui ont eu la chance de vivre cette expérience étonnante figurait un Français de 26 ans, Cyprien Verseux. 	doltean_1619002142923_2937-729927	doltean	étonnante	SAdj	étonnante	Designee	Base	Aucun	Surprise	Aucune	étonnant	étonnant
Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_20-284	Si vous détestez marcher dans le froid, l’exploit de Malgorzata Wojtaczaka va vous paraître d’autant plus admirable : cette Polonaise de 51 ans a réussi à atteindre le pôle Sud après avoir parcouru 1300 kilomètres pendant 69 jours sur la banquise de l’Antarctique.	doltean_1615571317028_529-48755124	doltean	admirable	SAdj	admirable	Designee	Complexe	Aucun	Admiration	Aucune	admirable	admirable
Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_396-507	Elle est la deuxième femme à accomplir cet exploit : la Française Laurence de La Ferrière l’avait fait en 1997.	doltean_1619102449764_529-48755124	doltean	la deuxième femme à accomplir cet exploit	SN	deuxième; exploit	Suggeree	Base	Complexe	Joie	Fierte	deuxième ; exploit	le deuxième femme à accomplir ce exploit
Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_396-507	Elle est la deuxième femme à accomplir cet exploit : la Française Laurence de La Ferrière l’avait fait en 1997.	doltean_1619102350871_529-48755124	doltean	cet exploit	SN	exploit	Suggeree	Complexe	Aucun	Admiration	Aucune	exploit	ce exploit
Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1615464317521_886-0	doltean	ont protesté	Proposition	protesté	Comportementale	Base	Aucun	Colere	Aucune	protester	avoir protester
Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1615464433237_886-0	doltean	accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes	SAdj	accusée	Suggeree	Base	Aucun	Colere	Aucune	accuser	accuser de discriminer le musulman et de sous-entendre qu’ il être tout potentiellement un terroriste
Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1619691123984_886-0	doltean	discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes	Proposition	discriminer; terroristes	Suggeree	Base	Aucun	Colere	Aucune	discriminer ; terroriste	discriminer le musulman et de sous-entendre qu’ il être tout potentiellement un terroriste
Albert	886-0	Albert10-EtatsUnis	886-0_763-845	Cela a provoqué la colère de Donald Trump, qui a jugé cette décision « ridicule ».	doltean_1615466169056_886-0	doltean	a jugé cette décision « ridicule »	Proposition	jugé; ridicule	Suggeree	Base	Aucun	Colere	Aucune	juger ; ridicule	avoir juger ce décision « ridicule »
Albert	886-0	Albert10-EtatsUnis	886-0_763-845	Cela a provoqué la colère de Donald Trump, qui a jugé cette décision « ridicule ».	doltean_1615465680402_886-0	doltean	la colère	SN	colère	Designee	Base	Aucun	Colere	Aucune	colèr	le colère
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_225-375	Si certains ne peuvent plus aller à l’école à cause des conflits, d’autres sont même enlevés par des groupes armés pour servir de force comme soldats.	doltean_1619691365203_3120-0	doltean	sont enlevés par des groupes armés	Proposition	enlevés	Suggeree	Base	Aucun	Peur	Aucune	enlever	être enlever par un groupe armer
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_376-543	Alors qu’en France comme dans de nombreux pays, les enfants sont libres d’aller à l’école ou de jouer, dans les pays en guerre leur sort est beaucoup plus inquiétant. 	doltean_1619168510075_3120-0	doltean	beaucoup plus inquiétant	SAdj	inquiétant	Designee	Base	Aucun	Peur	Aucune	inquiéter	beaucoup plus inquiétant
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_702-857	Dans certaines régions, des enfants sont kidnappés par des groupes armés, comme Daech au Moyen-Orient ou Boko Haram en Afrique, pour servir comme soldats. 	doltean_1619171765894_3120-0	doltean	sont kidnappés par des groupes armés	Proposition	kidnappés	Suggeree	Base	Aucun	Peur	Aucune	kidnapper	être kidnapper par un groupe armer
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_1673-1738	Souvent, les écoles sont bombardées, comme en Syrie ou au Yémen. 	doltean_1619691510973_3120-0	doltean	les écoles sont bombardées	Proposition	bombardées	Suggeree	Base	Aucun	Peur	Aucune	bombarder	le école être bombarder
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2100-2294	Dans le monde, près de 50 millions d’enfants sont dits « déracinés », c’est-à-dire qu’ils ont dû fuir, volontairement ou chassés, pour trouver refuge dans une autre ville ou dans un autre pays. 	doltean_1615466774397_3120-0	doltean	ont dû fuir	Proposition	fuir	Comportementale	Base	Aucun	Peur	Aucune	fuir	avoir devoir fuir
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2100-2294	Dans le monde, près de 50 millions d’enfants sont dits « déracinés », c’est-à-dire qu’ils ont dû fuir, volontairement ou chassés, pour trouver refuge dans une autre ville ou dans un autre pays. 	doltean_1619171852292_3120-0	doltean	trouver refuge dans une autre ville ou dans un autre pays	Proposition	refuge	Comportementale	Base	Aucun	Peur	Aucune	refuge	trouver refuge dans un autre ville ou dans un autre pays
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2367-2459	Il arrive même que certains d’entre eux se retrouvent séparés de leur famille ou orphelins. 	doltean_1615466958684_3120-0	doltean	même	SAdv	même	Montree	Base	Aucun	Tristesse	Aucune	même	même
Albert	414-81491850	Albert10-nouvelle_mascotte	414-81491850_18-123	Un bébé ours blanc né début novembre au zoo de Berlin est devenu la nouvelle coqueluche des internautes. 	doltean_1619172014304_414-81491850	doltean	la nouvelle coqueluche	SN	coqueluche	Designee	Complexe	Aucun	Admiration	Aucune	coqueluche	le nouveau coqueluche
Albert	831-44035596	Albert10-Philippines	831-44035596_524-646	De nombreuses organisations engagées pour les droits de l’Homme, comme Human Rights Watch (HRW), dénoncent ces pratiques. 	doltean_1615468857481_831-44035596	doltean	dénoncent ces pratiques	Proposition	dénoncent	Comportementale	Base	Aucun	Colere	Aucune	dénoncer	dénoncer ce pratique
Albert	859-4379562	Albert10-Yemen	859-4379562_6-111	Au Moyen-Orient, le Yémen est depuis 2015 au coeur d’une guerre civile qui oppose deux groupes musulmans.	doltean_1619692663792_859-4379562	doltean	au coeur d’une guerre civile	SN	guerre	Suggeree	Base	Aucun	Peur	Aucune	guerre	au coeur d’ un guerre civil
Albert	859-4379562	Albert10-Yemen	859-4379562_6-111	Au Moyen-Orient, le Yémen est depuis 2015 au coeur d’une guerre civile qui oppose deux groupes musulmans.	doltean_1619173177084_859-4379562	doltean	une guerre civile	SN	guerre	Comportementale	Base	Aucun	Colere	Aucune	guerre	un guerre civil
Albert	859-4379562	Albert10-Yemen	859-4379562_551-704	Les associations humanitaires et l’Organisation des nations unies (ONU) s’inquiètent surtout pour les habitants, qui commencent à manquer de nourriture. 	doltean_1619173320110_859-4379562	doltean	les habitants, qui commencent à manquer de nourriture	Proposition	manquer	Suggeree	Base	Aucun	Peur	Aucune	manquer	le habitant , qui commencer à manquer de nourriture
Albert	859-4379562	Albert10-Yemen	859-4379562_551-704	Les associations humanitaires et l’Organisation des nations unies (ONU) s’inquiètent surtout pour les habitants, qui commencent à manquer de nourriture. 	doltean_1615469886825_859-4379562	doltean	s’inquiètent	Proposition	s'inquiètent	Designee	Base	Aucun	Peur	Aucune	se inquiéter	s’ inquiéter
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_214-271	Le froid et la faim font des ravages parmi la population.	doltean_1615471303207_2152-74452554	doltean	des ravages	SN	ravages	Suggeree	Base	Aucun	Tristesse	Aucune	ravage	un ravage
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1619173573356_2152-74452554	doltean	de nombreuses grèves	SN	grèves	Comportementale	Base	Aucun	Colere	Aucune	grève	de nombreux grève
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1615472084077_2152-74452554	doltean	manifestent	Proposition	manifestent	Comportementale	Base	Aucun	Colere	Aucune	manifester	manifester
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1619173604504_2152-74452554	doltean	réclamer du pain	Proposition	réclamer	Comportementale	Base	Aucun	Colere	Aucune	réclamer	réclamer de pain
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_947-1005	Elles sont soutenues par les ouvriers qui les rejoignent. 	doltean_1615572485037_2152-74452554	doltean	les rejoignent	Proposition	rejoignent	Comportementale	Base	Aucun	Colere	Aucune	rejoignent	le rejoignent
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_1005-1043	Le 10 mars, la grève devient générale.	doltean_1619173643198_2152-74452554	doltean	la grève	SN	grève	Comportementale	Base	Aucun	Colere	Aucune	grever	le grève
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_1044-1280	Certains des manifestants veulent aussi changer de régime politique et mettre en place une république. À l’époque, la Russie est dirigée par le tsar Nicolas II, un empereur très autoritaire qui attise le mécontentement de la population.	doltean_1615472565595_2152-74452554	doltean	le mécontentement	SN	mécontentement	Designee	Base	Aucun	Colere	Aucune	mécontentemer	le mécontentement
Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_1281-1375	Le 12 mars, une partie des soldats qui gardent la ville rejoint le mouvement de contestation. 	doltean_1615474388609_2152-74452554	doltean	le mouvement de contestation	Proposition	contestation	Suggeree	Base	Aucun	Colere	Aucune	contestation	le mouvement de contestation
Albert	501-85691430	Albert11_Cure_de_jouvence	501-85691430_236-473	Cette année, Min Bahadur Sherchan qui a aujourd’hui 85 ans espère bien le récupérer : il s’apprête à effectuer une deuxième ascension du toit du monde pour, dit-il, redonner « confiance aux personnes âgées » et « de la fierté au Népal ».	doltean_1619173948243_501-85691430	doltean	la fierté	SN	fierté	Designee	Complexe	Aucun	Fierte	Aucune	fierter	le fierté
Albert	4887-69863013	Albert11_Facebook_outil_double_tranchant	4887-69863013_2888-3050	Certains qui sont victimes de harcèlement pendant la journée peuvent l’être encore le soir en rentrant chez eux, lorsqu’ils se connectent sur les réseaux sociaux.	doltean_1621437691887_4887-69863013	doltean	victimes de harcèlement	SN	victimes; harcèlement	Suggeree	Base	Base	Peur	Tristesse	victime ; harcèlemer	victime de harcèlement
Albert	4887-69863013	Albert11_Facebook_outil_double_tranchant	4887-69863013_3051-3146	Selon une étude, un collégien sur dix aurait déjà été victime dans sa vie de cyberharcèlement. 	doltean_1621437754964_4887-69863013	doltean	victime de cyberharcèlement	SN	victime; cyberharcèlement	Suggeree	Base	Base	Peur	Tristesse	victime ; cyberharcèlement	victime de cyberharcèlement
Albert	4887-69863013	Albert11_Facebook_outil_double_tranchant	4887-69863013_4252-4393	Récemment, Facebook a été accusé d’avoir influencé l’élection présidentielle américaine en permettant à de fausses informations de circuler. 	doltean_1621438054359_4887-69863013	doltean	avoir influencé l’élection présidentielle américaine en permettant à de fausses informations de circuler	Proposition	influencé; fausses informations	Suggeree	Base	Aucun	Colere	Aucune	influencer ; faux information	avoir influencer l’ élection présidentiel américain en permettre à de faux information de circuler
Albert	4887-69863013	Albert11_Facebook_outil_double_tranchant	4887-69863013_4252-4393	Récemment, Facebook a été accusé d’avoir influencé l’élection présidentielle américaine en permettant à de fausses informations de circuler. 	doltean_1621438048958_4887-69863013	doltean	a été accusé	Proposition	accusé	Comportementale	Base	Aucun	Colere	Aucune	accuser	avoir être accuser
Albert	871-39416058	Albert11_Inde	871-39416058_606-713	Mais les conséquences de cette marée noire s’annoncent déjà catastrophiques, surtout pour l’environnement. 	doltean_1619699295860_871-39416058	doltean	les conséquences de cette marée noire s’annoncent catastrophiques, surtout pour l’environnement	Proposition	catastrophiques	Suggeree	Base	Aucun	Peur	Aucune	catastrophique	le conséquence de ce marée noir s’ annoncer catastrophique , surtout pour l’ environnement
Albert	3072-0	Albert11_Jeux_olympiques_Paris_2024	3072-0_392-563	Pour les partisans des JO en France, l’échec de la candidature de Paris a été une grosse déception, mais n’a pas freiné pour autant les ambitions de la capitale française.	doltean_1617097924379_3072-0	doltean	une grosse déception	SN	déception	Designee	Base	Aucun	Tristesse	Aucune	déception	un gros déception
Albert	3072-0	Albert11_Jeux_olympiques_Paris_2024	3072-0_392-563	Pour les partisans des JO en France, l’échec de la candidature de Paris a été une grosse déception, mais n’a pas freiné pour autant les ambitions de la capitale française.	doltean_1619174680258_3072-0	doltean	l’échec de la candidature de Paris	SN	échec	Suggeree	Base	Aucun	Tristesse	Aucune	échec	l’ échec de le candidature de Paris
Albert	3072-0	Albert11_Jeux_olympiques_Paris_2024	3072-0_976-1165	En effet, de nombreux Hongrois ne voulaient pas des JO dans leur capitale, estimant que cela coûterait trop cher à l’État et que l’argent serait mieux utilisé pour la santé ou l’éducation. 	doltean_1619174571736_3072-0	doltean	coûterait trop cher à l’État	Proposition	trop cher	Suggeree	Base	Aucun	Colere	Aucune	trop cher	coûter trop cher à l’ état
Albert	3072-0	Albert11_Jeux_olympiques_Paris_2024	3072-0_976-1165	En effet, de nombreux Hongrois ne voulaient pas des JO dans leur capitale, estimant que cela coûterait trop cher à l’État et que l’argent serait mieux utilisé pour la santé ou l’éducation. 	doltean_1619174515876_3072-0	doltean	ne voulaient pas des JO dans leur capitale	Proposition	ne voulaient pas	Suggeree	Base	Aucun	Colere	Aucune	ne vouloir pas	ne vouloir pas un jo dans son capitale
Albert	3072-0	Albert11_Jeux_olympiques_Paris_2024	3072-0_1968-2090	Ainsi, Paris souhaite faire de ces Jeux une grande fête populaire dont tout le monde pourrait profiter, partout en France.	doltean_1619699768946_3072-0	doltean	une grande fête	SN	fête	Suggeree	Base	Aucun	Joie	Aucune	fête	un grand fête
Albert	2947-0	Albert11_Le_tombeau_de_Toutankhamon	2947-0_1942-2042	Une découverte enthousiasmante, mais contredite quelques semaines plus tard par d’autres chercheurs.	doltean_1619174923758_2947-0	doltean	enthousiasmante	SAdj	enthousiasmante	Designee	Base	Aucun	Joie	Aucune	enthousiasmante	enthousiasmante
Albert	892-89051094	Albert11_Roumanie	892-89051094_9-144	Pendant le mois de février, à Bucarest en Roumanie, des milliers de personnes ont manifesté pour réclamer la démission du gouvernement.	doltean_1615814629429_892-89051094	doltean	ont manifesté	Proposition	manifesté	Comportementale	Base	Aucun	Colere	Aucune	manifesté	avoir manifester
Albert	892-89051094	Albert11_Roumanie	892-89051094_9-144	Pendant le mois de février, à Bucarest en Roumanie, des milliers de personnes ont manifesté pour réclamer la démission du gouvernement.	doltean_1619175045912_892-89051094	doltean	réclamer la démission du gouvernement	Proposition	réclamer	Comportementale	Base	Aucun	Colere	Aucune	réclamer	réclamer le démission de gouvernement
Albert	892-89051094	Albert11_Roumanie	892-89051094_145-424	Les Roumains reprochent à leur nouveau gouvernement, en place depuis le début de l’année, d’avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption, c’est‐à-dire s’ils ont abusé de leur pouvoir. 	doltean_1619604310764_892-89051094	doltean	avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption	Proposition	échapper à la prison; corruption	Suggeree	Base	Aucun	Colere	Aucune	échapper à le prison ; corruption	avoir voter le 31 janvier de loi qui permettre à un homme politique d’ échapper à le prison s’ il être reconnaître coupable de corruption
Albert	892-89051094	Albert11_Roumanie	892-89051094_145-424	Les Roumains reprochent à leur nouveau gouvernement, en place depuis le début de l’année, d’avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption, c’est‐à-dire s’ils ont abusé de leur pouvoir. 	doltean_1615814724351_892-89051094	doltean	reprochent à leur nouveau gouvernement d’avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption	Proposition	reprochent	Comportementale	Base	Aucun	Colere	Aucune	reprocher	reprocher à son nouveau gouvernement d’ avoir voter le 31 janvier de loi qui permettre à un homme politique d’ échapper à le prison s’ il être reconnaître coupable de corruption
Albert	892-89051094	Albert11_Roumanie	892-89051094_510-608	Mais les Roumains ont continué à manifester, disant qu’ils veulent des hommes politiques honnêtes.	doltean_1615814890923_892-89051094	doltean	manifester	Proposition	manifester	Comportementale	Base	Aucun	Colere	Aucune	manifester	manifester
Albert	892-89051094	Albert11_Roumanie	892-89051094_609-843	C’est la première fois depuis 1989 que la Roumanie est confrontée à une telle vague de contestation. À l’époque, le dirigeant Nicolae Ceaucescu avait vu le peuple se rebeller contre son régime très dur, ce qui avait provoqué sa chute.	doltean_1619175248452_892-89051094	doltean	contre son régime très dur	SPrep	dur	Suggeree	Base	Aucun	Colere	Aucune	dur	contre son régime très dur
