Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
aimez	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	aimer
pas	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	pas
je	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	il
ne	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	ne
vous	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	il
aime	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	aimer
pas	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	pas
non	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	non
plus	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	plus
injuste	Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_1565-1796	Le 1er juin, Donald Trump a annoncé son intention de sortir de cet accord de Paris car selon lui, ce texte est « injuste » envers les États-Unis et les oblige à faire de gros efforts, alors que la Chine pollue beaucoup plus qu’eux.	doltean_1619442189258_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste
injuste	Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_3265-3351	Donald Trump estime qu’il est « injuste » qu’on lui demande de payer pour les autres. 	doltean_1616061182361_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste
même	Albert	509-39276072	Albert2-50_ans	509-39276072_246-320	Une chorale d’enfants est même venue lui chanter « Joyeux Anniversaire ». 	doltean_1614850371752_509-39276072	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même
l'image	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	le
que	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	que
nous	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	il
nous	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	il
en	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	en
faisons	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	faire
pas	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1614852533272_3193-71532846	doltean	vient de révéler que certains dinosaures ne ressemblaient pas du tout	SAdv	pas du tout	Montree	Base	Aucun	Surprise	Aucune	pas
du	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1614852533272_3193-71532846	doltean	vient de révéler que certains dinosaures ne ressemblaient pas du tout	SAdv	pas du tout	Montree	Base	Aucun	Surprise	Aucune	du
tout	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1614852533272_3193-71532846	doltean	vient de révéler que certains dinosaures ne ressemblaient pas du tout	SAdv	pas du tout	Montree	Base	Aucun	Surprise	Aucune	tout
qui	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	qui
n	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	n
a	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	à
rien	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	rien
des	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	un
il	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1619182135908_3193-71532846	doltean	il se trouve qu	Proposition	il se trouve qu	Montree	Base	Aucun	Surprise	Aucune	il
se	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1619182135908_3193-71532846	doltean	il se trouve qu	Proposition	il se trouve qu	Montree	Base	Aucun	Surprise	Aucune	se
trouve	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1619182135908_3193-71532846	doltean	il se trouve qu	Proposition	il se trouve qu	Montree	Base	Aucun	Surprise	Aucune	trouver
qu	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1619182135908_3193-71532846	doltean	il se trouve qu	Proposition	il se trouve qu	Montree	Base	Aucun	Surprise	Aucune	que
pas	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1620303442432_3193-71532846	doltean	pas aussi impressionnant que Godzilla	Proposition	pas aussi que	Montree	Base	Aucun	Surprise	Aucune	pas
aussi	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1620303442432_3193-71532846	doltean	pas aussi impressionnant que Godzilla	Proposition	pas aussi que	Montree	Base	Aucun	Surprise	Aucune	aussi
que	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1620303442432_3193-71532846	doltean	pas aussi impressionnant que Godzilla	Proposition	pas aussi que	Montree	Base	Aucun	Surprise	Aucune	que
loin	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_1239-1337	D’autre part, le psittacosaurus est loin d’être immense : il faisait la taille d’une grosse dinde.	doltean_1621509162153_3193-71532846	doltean	loin d	SAdj	loin d	Montree	Base	Aucun	Surprise	Aucune	loin
d	Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_1239-1337	D’autre part, le psittacosaurus est loin d’être immense : il faisait la taille d’une grosse dinde.	doltean_1621509162153_3193-71532846	doltean	loin d	SAdj	loin d	Montree	Base	Aucun	Surprise	Aucune	de
explosé	Albert	5190-56934306	Albert2-succes_Jeux_paralympiques	5190-56934306_3677-3840	Par exemple, les athlètes de la catégorie « T13 », c’est-à-dire des sportifs malvoyants (mais pas totalement aveugles) ont explosé les records de vitesse sur le 1.	doltean_1619011627866_5190-56934306	doltean	explosé les records de vitesse sur le 1.500 mètres	Proposition	explosé	Montree	Complexe	Aucun	Admiration	Aucune	exploser
explosé	Albert	5190-56934306	Albert2-succes_Jeux_paralympiques	5190-56934306_3840-3851	500 mètres.	doltean_1619011627866_5190-56934306	doltean	explosé les records de vitesse sur le 1.500 mètres	Proposition	explosé	Montree	Complexe	Aucun	Admiration	Aucune	exploser
or	Albert	860-69863013	Albert2-Syrie	860-69863013_399-495	Or, dès la semaine suivante, les frappes ont repris sur le pays, notamment sur la ville d’Alep. 	doltean_1615215542503_860-69863013	doltean	Or	Conj. de coordination	or	Montree	Base	Aucun	Colere	Aucune	or
pourtant	Albert	415-89191080	Albert21-A3_Sac_de_lune	415-89191080_12-260	Ce n’est ni un joyau ni une œuvre d’art, et pourtant il s’est vendu aux enchères pour 1,6 million d’euros : un petit sac emmené sur la Lune et ramené sur Terre par l’astronaute Neil Armstrong il y a 48 ans vient de trouver un nouveau propriétaire. 	doltean_1616146505193_415-89191080	doltean	pourtant	SAdv	pourtant	Montree	Base	Aucun	Surprise	Aucune	pourtant
pulvérisé	Albert	426-16388361	Albert27-A3_Qui_dit_mieux	426-16388361_16-292	C’est un record qui a été pulvérisé le 16 novembre dernier lors d’une vente aux enchères à New-York : en seulement 19 minutes, l’œuvre de Léonard de Vinci intitulée « Salvator Mundi » a été adjugée à 450,3 millions de dollars, devenant ainsi le tableau le plus cher du monde. 	doltean_1620122114913_426-16388361	doltean	pulvérisé	Proposition	pulvérisé	Montree	Base	Aucun	Surprise	Aucune	pulvériser
cauchemar	Albert	5458-0	Albert28-A3_La_crise_humanitaire_des_Rohingyas	5458-0_3884-4114	Pour Antonio Guterres, le chef de l’ONU, cette crise s’est transformée en « cauchemar humanitaire » pour les Rohingyas qui ont fui et qui vivent désormais dans des camps d’accueil au Bangladesh dans des conditions très difficiles.	doltean_1616517048842_5458-0	doltean	cauchemar humanitaire	SN	cauchemar	Montree	Base	Aucun	Peur	Aucune	cauchemar
Heureusement	Albert	553-7929207	Albert28-A3_Petit_Papa_Noel	553-7929207_418-522	Heureusement, il a atterri sur le toit d’une tente en plastique et s’en est sorti sans une égratignure !	doltean_1620129757640_553-7929207	doltean	Heureusement	SAdv	Heureusement	Montree	Base	Aucun	Joie	Aucune	heureusement
même	Albert	632-48775122	Albert3-c_est_du_propre	632-48775122_16-227	Des pneus, des bouteilles vides, des chariots de supermarché et même une voiture : c’est, entre autres, les objets insolites que des bénévoles ont retrouvé en vidant le Vieux port de Marseille pour le nettoyer. 	doltean_1615217242245_632-48775122	doltean	Des pneus, des bouteilles vides, des chariots de supermarché et même une voiture	Accumulation	même	Montree	Base	Aucun	Surprise	Aucune	même
même	Albert	5344-0	Albert3-Harry_Potter_retour	5344-0_4481-4656	Certains fans écrivent même des suites ou des histoires complémentaires aux romans officiels et les mettent en ligne sur des sites internet : on appelle cela des fanfictions. 	doltean_1614865719766_5344-0	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même
Oups	Albert	625-40665933	Albert4-oups	625-40665933_0-6	Oups !	doltean_1614878085517_625-40665933	doltean	Oups	Interjection	Oups	Montree	Base	Aucun	Surprise	Aucune	oups
pour	Albert	856-84931506	Albert40-A3_Erynthree	856-84931506_432-610	Mais depuis l’annonce du 8 juillet, pour la première fois depuis 20 ans, des avions ont décollé afin de relier les deux capitales, Addis-Abeba en Éthiopie et Asmara en Érythrée. 	doltean_1617017794044_856-84931506	doltean	pour la première fois depuis 20 ans	SPrep	pour la première fois	Montree	Base	Complexe	Joie	Admiration	pour
la	Albert	856-84931506	Albert40-A3_Erynthree	856-84931506_432-610	Mais depuis l’annonce du 8 juillet, pour la première fois depuis 20 ans, des avions ont décollé afin de relier les deux capitales, Addis-Abeba en Éthiopie et Asmara en Érythrée. 	doltean_1617017794044_856-84931506	doltean	pour la première fois depuis 20 ans	SPrep	pour la première fois	Montree	Base	Complexe	Joie	Admiration	le
première	Albert	856-84931506	Albert40-A3_Erynthree	856-84931506_432-610	Mais depuis l’annonce du 8 juillet, pour la première fois depuis 20 ans, des avions ont décollé afin de relier les deux capitales, Addis-Abeba en Éthiopie et Asmara en Érythrée. 	doltean_1617017794044_856-84931506	doltean	pour la première fois depuis 20 ans	SPrep	pour la première fois	Montree	Base	Complexe	Joie	Admiration	premier
fois	Albert	856-84931506	Albert40-A3_Erynthree	856-84931506_432-610	Mais depuis l’annonce du 8 juillet, pour la première fois depuis 20 ans, des avions ont décollé afin de relier les deux capitales, Addis-Abeba en Éthiopie et Asmara en Érythrée. 	doltean_1617017794044_856-84931506	doltean	pour la première fois depuis 20 ans	SPrep	pour la première fois	Montree	Base	Complexe	Joie	Admiration	fois
beurk	Albert	402-84671532	Albert45-A3_musee_du_beurk	402-84671532_0-20	Musée du « beurk ! »	doltean_1617116593596_402-84671532	doltean	beurk	Interjection	beurk	Montree	Base	Aucun	Degout	Aucune	beurk
L'histoire	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	le
aurait	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	avoir
pu	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	pouvoir
être	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	être
inventée	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	inventer
pour	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	pour
Halloween	Albert	675-68853114	Albert46-A3_retour_mort-vivant	675-68853114_24-135	L’histoire aurait pu être inventée pour Halloween, mais elle s’est pourtant réellement déroulée au Kazakhstan. 	doltean_1617172722099_675-68853114	doltean	L’histoire aurait pu être inventée pour Halloween	Proposition	L'histoire aurait pu être inventée pour Halloween	Montree	Base	Aucun	Surprise	Aucune	Halloween
Cela	Albert	3068-12408759	Albert46-A3_science_fait_remarcher_handicapes	3068-12408759_230-405	Cela pourrait tenir du miracle religieux, mais c’est bien une prouesse accomplie par la science qui a été révélée dans le magazine scientifique Nature, le 31 octobre dernier. 	doltean_1617172915981_3068-12408759	doltean	Cela pourrait tenir du miracle religieux	Proposition	Cela pourrait tenir du miracle religieux	Montree	Base	Aucun	Surprise	Aucune	cela
pourrait	Albert	3068-12408759	Albert46-A3_science_fait_remarcher_handicapes	3068-12408759_230-405	Cela pourrait tenir du miracle religieux, mais c’est bien une prouesse accomplie par la science qui a été révélée dans le magazine scientifique Nature, le 31 octobre dernier. 	doltean_1617172915981_3068-12408759	doltean	Cela pourrait tenir du miracle religieux	Proposition	Cela pourrait tenir du miracle religieux	Montree	Base	Aucun	Surprise	Aucune	pouvoir
tenir	Albert	3068-12408759	Albert46-A3_science_fait_remarcher_handicapes	3068-12408759_230-405	Cela pourrait tenir du miracle religieux, mais c’est bien une prouesse accomplie par la science qui a été révélée dans le magazine scientifique Nature, le 31 octobre dernier. 	doltean_1617172915981_3068-12408759	doltean	Cela pourrait tenir du miracle religieux	Proposition	Cela pourrait tenir du miracle religieux	Montree	Base	Aucun	Surprise	Aucune	tenir
