Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
reprochaient	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	doltean_1614597551765_4747-18978102	doltean	reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés	Proposition	reprochaient	Comportementale	Base	Aucun	Colere	Aucune	reprocher
ne	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	aetienne_1614605876026_4747-18978102	aetienne	ne pas être suffisamment impliqué à leurs côtés	SPrep	ne pas être impliqué	Suggeree	Base	Aucun	Colere	Aucune	ne
pas	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	aetienne_1614605876026_4747-18978102	aetienne	ne pas être suffisamment impliqué à leurs côtés	SPrep	ne pas être impliqué	Suggeree	Base	Aucun	Colere	Aucune	pas
être	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	aetienne_1614605876026_4747-18978102	aetienne	ne pas être suffisamment impliqué à leurs côtés	SPrep	ne pas être impliqué	Suggeree	Base	Aucun	Colere	Aucune	être
impliqué	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	aetienne_1614605876026_4747-18978102	aetienne	ne pas être suffisamment impliqué à leurs côtés	SPrep	ne pas être impliqué	Suggeree	Base	Aucun	Colere	Aucune	impliquer
rongée	Albert	822-34856514	Albert1-Colombie	822-34856514_9-197	Depuis plus de 50 ans, la Colombie, en Amérique du Sud, est rongée par une guerre entre l’armée officielle et une armée de rebelles, les Forces armées révolutionnaires de Colombie (FARC). 	doltean_1614603262759_822-34856514	doltean	Depuis plus de 50 ans est rongée par une guerre	Proposition	rongée; guerre	Suggeree	Base	Aucun	Colere	Aucune	ronger
guerre	Albert	822-34856514	Albert1-Colombie	822-34856514_9-197	Depuis plus de 50 ans, la Colombie, en Amérique du Sud, est rongée par une guerre entre l’armée officielle et une armée de rebelles, les Forces armées révolutionnaires de Colombie (FARC). 	doltean_1614603262759_822-34856514	doltean	Depuis plus de 50 ans est rongée par une guerre	Proposition	rongée; guerre	Suggeree	Base	Aucun	Colere	Aucune	guerre
guerre	Albert	822-34856514	Albert1-Colombie	822-34856514_352-458	La guerre entre les deux fait rage depuis 1964. A l’origine, les FARC étaient composés de petits paysans. 	doltean_1614603363833_822-34856514	doltean	La guerre entre les deux fait rage	Proposition	guerre; fait rage	Suggeree	Base	Aucun	Peur	Aucune	guerre
fait	Albert	822-34856514	Albert1-Colombie	822-34856514_352-458	La guerre entre les deux fait rage depuis 1964. A l’origine, les FARC étaient composés de petits paysans. 	doltean_1614603363833_822-34856514	doltean	La guerre entre les deux fait rage	Proposition	guerre; fait rage	Suggeree	Base	Aucun	Peur	Aucune	faire
rage	Albert	822-34856514	Albert1-Colombie	822-34856514_352-458	La guerre entre les deux fait rage depuis 1964. A l’origine, les FARC étaient composés de petits paysans. 	doltean_1614603363833_822-34856514	doltean	La guerre entre les deux fait rage	Proposition	guerre; fait rage	Suggeree	Base	Aucun	Peur	Aucune	rage
truquées	Albert	875-38686131	Albert1-Gabon	875-38686131_389-501	Son principal opposant, Jean Ping, réclame lui aussi la victoire et affirme que les élections ont été truquées. 	doltean_1615391944086_875-38686131	doltean	les élections ont été truquées	Proposition	truquées	Suggeree	Base	Aucun	Colere	Aucune	truquer
réclame	Albert	875-38686131	Albert1-Gabon	875-38686131_389-501	Son principal opposant, Jean Ping, réclame lui aussi la victoire et affirme que les élections ont été truquées. 	doltean_1614604051581_875-38686131	doltean	réclame la victoire	Proposition	réclame	Comportementale	Base	Aucun	Colere	Aucune	réclamer
réclament	Albert	875-38686131	Albert1-Gabon	875-38686131_595-695	Les soutiens de Jean Ping réclament vigoureusement un recomptage des voix, ce que refuse Ali Bongo. 	doltean_1614603879319_875-38686131	doltean	réclament vigoureusement un recomptage des voix	Proposition	réclament	Comportementale	Base	Aucun	Colere	Aucune	réclamer
affrontés	Albert	875-38686131	Albert1-Gabon	875-38686131_695-848	Les partisans des deux hommes se sont alors affrontés violemment dans les rues de la capitale Libreville, faisant trois morts et une centaine de blessés.	doltean_1614603685181_875-38686131	doltean	se sont affrontés violemment	Proposition	affrontés	Comportementale	Base	Aucun	Colere	Aucune	affronter
sans-abri	Albert	894-54014598	Albert1-Italie	894-54014598_149-249	De nombreuses maisons ont aussi été détruites et des familles entières se sont retrouvées sans-abri.	doltean_1614604827768_894-54014598	doltean	se sont retrouvées sans-abri	Proposition	sans-abri	Suggeree	Base	Aucun	Tristesse	Aucune	sans-abri
détruites	Albert	894-54014598	Albert1-Italie	894-54014598_149-249	De nombreuses maisons ont aussi été détruites et des familles entières se sont retrouvées sans-abri.	aetienne_1614606659003_894-54014598	aetienne	De nombreuses maisons ont aussi été détruites	Proposition	détruites	Suggeree	Base	Aucun	Tristesse	Aucune	détruire
danger	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_251-302	Elle considère que cela peut représenter un danger.	doltean_1614787532792_3079-48175182	doltean	un danger	SN	danger	Suggeree	Base	Aucun	Peur	Aucune	danger
inquiétudes	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1885-1977	Le ministère de la Défense a lui aussi fait part de ses inquiétudes à propos de Pokémon Go. 	doltean_1614612775363_3079-48175182	doltean	inquiétudes	SN	inquiétudes	Designee	Base	Aucun	Peur	Aucune	inquiétude
mal	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1977-2156	Il redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes, en faisant croire qu’elles jouent à Pokémon Go.	doltean_1619001350532_3079-48175182	doltean	des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes	Proposition	mal intentionnées	Suggeree	Base	Aucun	Peur	Aucune	mal
intentionnées	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1977-2156	Il redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes, en faisant croire qu’elles jouent à Pokémon Go.	doltean_1619001350532_3079-48175182	doltean	des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes	Proposition	mal intentionnées	Suggeree	Base	Aucun	Peur	Aucune	intentionner
redoute	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_1977-2156	Il redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes, en faisant croire qu’elles jouent à Pokémon Go.	doltean_1614611794451_3079-48175182	doltean	redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes	Proposition	redoute	Designee	Base	Aucun	Peur	Aucune	redoute
s'inquiète	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2157-2228	Enfin, l’armée s’inquiète du phénomène addictif que représente ce jeu. 	doltean_1614612111227_3079-48175182	doltean	s’inquiète	Proposition	s'inquiète	Designee	Base	Aucun	Peur	Aucune	se
dépendants	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2228-2330	Elle pense que certains militaires pourraient finir par devenir dépendants et délaisser leur travail. 	doltean_1619001578915_3079-48175182	doltean	certains militaires pourraient finir par devenir dépendants et délaisser leur travail	Proposition	dépendants	Suggeree	Base	Aucun	Peur	Aucune	dépendant
les	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	le
enfants	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	enfant
qui	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	qui
possèdent	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	posséder
un	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	un
téléphone	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	téléphone
portable	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	portable
le	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	le
sortent	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	sortir
pendant	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	pendant
les	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	le
cours	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1619001648424_3079-48175182	doltean	les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	les enfants qui possèdent un téléphone portable le sortent pendant les cours	Suggeree	Base	Aucun	Peur	Aucune	cours
craignent	Albert	3079-48175182	Albert1-Pikachu	3079-48175182_2330-2536	De même, certains parents et enseignants craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école.	doltean_1614612623187_3079-48175182	doltean	craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école	Proposition	craignent	Designee	Base	Aucun	Peur	Aucune	craindre
étonnante	Albert	2937-729927	Albert1-un_an_sur_Mars	2937-729927_1667-1801	Parmi les six scientifiques qui ont eu la chance de vivre cette expérience étonnante figurait un Français de 26 ans, Cyprien Verseux. 	doltean_1619002142923_2937-729927	doltean	étonnante	SAdj	étonnante	Designee	Base	Aucun	Surprise	Aucune	étonnant
admirable	Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_20-284	Si vous détestez marcher dans le froid, l’exploit de Malgorzata Wojtaczaka va vous paraître d’autant plus admirable : cette Polonaise de 51 ans a réussi à atteindre le pôle Sud après avoir parcouru 1300 kilomètres pendant 69 jours sur la banquise de l’Antarctique.	doltean_1615571317028_529-48755124	doltean	admirable	SAdj	admirable	Designee	Complexe	Aucun	Admiration	Aucune	admirable
deuxième	Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_396-507	Elle est la deuxième femme à accomplir cet exploit : la Française Laurence de La Ferrière l’avait fait en 1997.	doltean_1619102449764_529-48755124	doltean	la deuxième femme à accomplir cet exploit	SN	deuxième; exploit	Suggeree	Base	Complexe	Joie	Fierte	deuxième
exploit	Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_396-507	Elle est la deuxième femme à accomplir cet exploit : la Française Laurence de La Ferrière l’avait fait en 1997.	doltean_1619102449764_529-48755124	doltean	la deuxième femme à accomplir cet exploit	SN	deuxième; exploit	Suggeree	Base	Complexe	Joie	Fierte	exploit
exploit	Albert	529-48755124	Albert10-ca_useules_souliers	529-48755124_396-507	Elle est la deuxième femme à accomplir cet exploit : la Française Laurence de La Ferrière l’avait fait en 1997.	doltean_1619102350871_529-48755124	doltean	cet exploit	SN	exploit	Suggeree	Complexe	Aucun	Admiration	Aucune	exploit
protesté	Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1615464317521_886-0	doltean	ont protesté	Proposition	protesté	Comportementale	Base	Aucun	Colere	Aucune	protester
accusée	Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1615464433237_886-0	doltean	accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes	SAdj	accusée	Suggeree	Base	Aucun	Colere	Aucune	accuser
discriminer	Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1619691123984_886-0	doltean	discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes	Proposition	discriminer; terroristes	Suggeree	Base	Aucun	Colere	Aucune	discriminer
terroristes	Albert	886-0	Albert10-EtatsUnis	886-0_487-646	De nombreux pays ont protesté contre cette décision, accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes.	doltean_1619691123984_886-0	doltean	discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes	Proposition	discriminer; terroristes	Suggeree	Base	Aucun	Colere	Aucune	terroriste
jugé	Albert	886-0	Albert10-EtatsUnis	886-0_763-845	Cela a provoqué la colère de Donald Trump, qui a jugé cette décision « ridicule ».	doltean_1615466169056_886-0	doltean	a jugé cette décision « ridicule »	Proposition	jugé; ridicule	Suggeree	Base	Aucun	Colere	Aucune	juger
ridicule	Albert	886-0	Albert10-EtatsUnis	886-0_763-845	Cela a provoqué la colère de Donald Trump, qui a jugé cette décision « ridicule ».	doltean_1615466169056_886-0	doltean	a jugé cette décision « ridicule »	Proposition	jugé; ridicule	Suggeree	Base	Aucun	Colere	Aucune	ridicule
colère	Albert	886-0	Albert10-EtatsUnis	886-0_763-845	Cela a provoqué la colère de Donald Trump, qui a jugé cette décision « ridicule ».	doltean_1615465680402_886-0	doltean	la colère	SN	colère	Designee	Base	Aucun	Colere	Aucune	colère
enlevés	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_225-375	Si certains ne peuvent plus aller à l’école à cause des conflits, d’autres sont même enlevés par des groupes armés pour servir de force comme soldats.	doltean_1619691365203_3120-0	doltean	sont enlevés par des groupes armés	Proposition	enlevés	Suggeree	Base	Aucun	Peur	Aucune	enlever
inquiétant	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_376-543	Alors qu’en France comme dans de nombreux pays, les enfants sont libres d’aller à l’école ou de jouer, dans les pays en guerre leur sort est beaucoup plus inquiétant. 	doltean_1619168510075_3120-0	doltean	beaucoup plus inquiétant	SAdj	inquiétant	Designee	Base	Aucun	Peur	Aucune	inquiéter
kidnappés	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_702-857	Dans certaines régions, des enfants sont kidnappés par des groupes armés, comme Daech au Moyen-Orient ou Boko Haram en Afrique, pour servir comme soldats. 	doltean_1619171765894_3120-0	doltean	sont kidnappés par des groupes armés	Proposition	kidnappés	Suggeree	Base	Aucun	Peur	Aucune	kidnapper
bombardées	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_1673-1738	Souvent, les écoles sont bombardées, comme en Syrie ou au Yémen. 	doltean_1619691510973_3120-0	doltean	les écoles sont bombardées	Proposition	bombardées	Suggeree	Base	Aucun	Peur	Aucune	bombarder
fuir	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2100-2294	Dans le monde, près de 50 millions d’enfants sont dits « déracinés », c’est-à-dire qu’ils ont dû fuir, volontairement ou chassés, pour trouver refuge dans une autre ville ou dans un autre pays. 	doltean_1615466774397_3120-0	doltean	ont dû fuir	Proposition	fuir	Comportementale	Base	Aucun	Peur	Aucune	fuir
refuge	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2100-2294	Dans le monde, près de 50 millions d’enfants sont dits « déracinés », c’est-à-dire qu’ils ont dû fuir, volontairement ou chassés, pour trouver refuge dans une autre ville ou dans un autre pays. 	doltean_1619171852292_3120-0	doltean	trouver refuge dans une autre ville ou dans un autre pays	Proposition	refuge	Comportementale	Base	Aucun	Peur	Aucune	refuge
même	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2367-2459	Il arrive même que certains d’entre eux se retrouvent séparés de leur famille ou orphelins. 	doltean_1615466958684_3120-0	doltean	même	SAdv	même	Montree	Base	Aucun	Tristesse	Aucune	même
coqueluche	Albert	414-81491850	Albert10-nouvelle_mascotte	414-81491850_18-123	Un bébé ours blanc né début novembre au zoo de Berlin est devenu la nouvelle coqueluche des internautes. 	doltean_1619172014304_414-81491850	doltean	la nouvelle coqueluche	SN	coqueluche	Designee	Complexe	Aucun	Admiration	Aucune	coqueluche
dénoncent	Albert	831-44035596	Albert10-Philippines	831-44035596_524-646	De nombreuses organisations engagées pour les droits de l’Homme, comme Human Rights Watch (HRW), dénoncent ces pratiques. 	doltean_1615468857481_831-44035596	doltean	dénoncent ces pratiques	Proposition	dénoncent	Comportementale	Base	Aucun	Colere	Aucune	dénoncer
guerre	Albert	859-4379562	Albert10-Yemen	859-4379562_6-111	Au Moyen-Orient, le Yémen est depuis 2015 au coeur d’une guerre civile qui oppose deux groupes musulmans.	doltean_1619692663792_859-4379562	doltean	au coeur d’une guerre civile	SN	guerre	Suggeree	Base	Aucun	Peur	Aucune	guerre
guerre	Albert	859-4379562	Albert10-Yemen	859-4379562_6-111	Au Moyen-Orient, le Yémen est depuis 2015 au coeur d’une guerre civile qui oppose deux groupes musulmans.	doltean_1619173177084_859-4379562	doltean	une guerre civile	SN	guerre	Comportementale	Base	Aucun	Colere	Aucune	guerre
manquer	Albert	859-4379562	Albert10-Yemen	859-4379562_551-704	Les associations humanitaires et l’Organisation des nations unies (ONU) s’inquiètent surtout pour les habitants, qui commencent à manquer de nourriture. 	doltean_1619173320110_859-4379562	doltean	les habitants, qui commencent à manquer de nourriture	Proposition	manquer	Suggeree	Base	Aucun	Peur	Aucune	manquer
s'inquiètent	Albert	859-4379562	Albert10-Yemen	859-4379562_551-704	Les associations humanitaires et l’Organisation des nations unies (ONU) s’inquiètent surtout pour les habitants, qui commencent à manquer de nourriture. 	doltean_1615469886825_859-4379562	doltean	s’inquiètent	Proposition	s'inquiètent	Designee	Base	Aucun	Peur	Aucune	se
ravages	Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_214-271	Le froid et la faim font des ravages parmi la population.	doltean_1615471303207_2152-74452554	doltean	des ravages	SN	ravages	Suggeree	Base	Aucun	Tristesse	Aucune	ravage
grèves	Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1619173573356_2152-74452554	doltean	de nombreuses grèves	SN	grèves	Comportementale	Base	Aucun	Colere	Aucune	grève
manifestent	Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1615472084077_2152-74452554	doltean	manifestent	Proposition	manifestent	Comportementale	Base	Aucun	Colere	Aucune	manifester
réclamer	Albert	2152-74452554	Albert11_1917_la_Russie_entre_en_revolution	2152-74452554_828-947	Après de nombreuses grèves dans les usines, les femmes de Petrograd manifestent le 8 mars 1917, pour réclamer du pain. 	doltean_1619173604504_2152-74452554	doltean	réclamer du pain	Proposition	réclamer	Comportementale	Base	Aucun	Colere	Aucune	réclamer
